"","X","klasifikasi","x"
"1",800,"Netral","vaksin sinovac dosis salah informasi"
"2",1050,"Negatif","iyaaa beneran tidak asa kepengen tidur banget standa ngomong ngomong pakai sinovac vaksin nya"
"3",825,"Negatif","tim riset indonesia efikasi vaksin covid sinovac turun persen pember"
"4",1389,"Netral","beda vaksin sinovac astrazeneca informasi masyarakat daftar vaksin"
"5",776,"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang silah"
"6",931,"Negatif","yb nak request second dose sinovac kontak rapat haritu so kansel appointment c d"
"7",312,"Positif","kes patient st dosis sinovac nk tukar vaksin sbb post vaksin kena salmonella tgk kes xperlu terminal"
"8",1356,"Netral","ngasi orang pinter banget abis vaksin istirahat bupak jangan capek moderna e"
"9",1450,"Positif","informasi lokasi vaksin daerah solo dosis sinovac informasi"
"10",1458,"Netral","dosis sinovac dosis ktp bebas"
"11",1382,"Negatif","imunogenisitas vaksin sinovac turun persen ama kali suntik tubuh"
"12",997,"Negatif","besok vaksin ah nunggu moderna sinovac ajadeh"
"13",893,"Netral","dosis undur tmptnya dipake ds lainfyi desa informasi"
"14",453,"Netral","say vaksin sinovac udah gppa"
"15",946,"Positif","alhamdulillah vaksin selesai dosis sinovac dosis bener war sold antu"
"16",26,"Negatif","vaksin sinovac aman booster moderna langsung hareudang"
"17",1070,"Netral","waris mesti benar masuk anak suntik pasti tiada silap jenis vaksin b"
"18",99,"Positif","goh bak na bawa pusat beri vaksin ppv hospital pakar komuniti ipoh pcsh teman ahli keluarg"
"19",102,"Netral","iyaalaahh kalaubeda ntr tubuh belum biasa vaksin sinovac pas kasih beda jenis tmbh ambyarr"
"20",812,"Negatif","jangan kakean cangkem asline ki turun prabu siliwangi bar vaksin sinovac kuat ilang"
"21",560,"Negatif","guna vaksin sinovac golong remaja umur benar ketua arah kesihatan"
"22",569,"Positif","vaksin sinovac selamat kanakkanak pharmaniaga"
"23",209,"Positif","selamat jadwal vaksinasi covid dosis sedhereksedherek vaksin dosis ama j"
"24",1391,"Netral","beda vaksin sinovac astrazeneca"
"25",598,"Netral","vaksin sinovac"
"26",819,"Positif","perlahan bukan vaksin astrazeneca rana kadar vaksin dosis ama lepas me"
"27",357,"Netral","angka efikasi sinovac peran wave junijuli kontra"
"28",682,"Positif","temen abis papar cword tidak vaksin kampus pakai sinovac eh pas sembuh l"
"29",521,"Netral","vaksinasi covid dosis laksana keluarga gawai lingkung sekretariat"
"30",358,"Netral","kedatngan vaksin sinovac bandara intl pesawat lion air jakaa"
"31",989,"Negatif","sing vaksin e sinovac ra sok keraskoyo ngenei astreav"
"32",1031,"Netral","informasi vaksin sinovac dosis bogor daftar"
"33",191,"Positif","sobat polri vaksin covid adakan menteng tenggulun camat menteng jakaa pusat jenis vaksin sinov"
"34",46,"Netral","informasi vaksin sinovac dosis"
"35",1043,"Netral","buka jangka"
"36",942,"Positif","malaysia ikut langkah indonesia persetujuan syarat beri vaksin covid"
"37",410,"Positif","sayang rumah bekas cipayung cibubur ayo vaksin sinovac astrazeneca universitas dian nusantara"
"38",1096,"Netral","sinovac yah cmn kali vaksin"
"39",425,"Positif","vaksin sinovac kali tu ngantri rame banget"
"40",773,"Netral","mosok biduren mergane vaksin sinovac"
"41",900,"Netral","raja china bersetuju derma tambah juta dosis tambah ribu su"
"42",736,"Positif","dosis administrasi amerika inggris bayang untung farmasi vaksin"
"43",1427,"Netral","muhun cah dapat sinovac antusias banget freezer astrazeneca ponakan temen bapake"
"44",911,"Netral","sinovac besok vaksin hihi"
"45",730,"Positif","negara izin vaksin indonesia filipina vaksin sinovac sinopha"
"46",829,"Negatif","informasi vaksin covid bogor puskesmas tanjungsari masyarakat pakai pfizer sinovac"
"47",1162,"Netral","vaksin sinovac lulus remaja usia via"
"48",1075,"Netral","asli"
"49",1289,"Positif","panjang kanggo kancakanca brebes l sekitare vaksinasi usia kuo"
"50",111,"Positif","gratis vaksin sinovac moderna pfizer hamil"
"51",824,"Netral","vaksin plasebo heboh berita uap"
"52",470,"Negatif","emang vaksin ulang kalausetauku sinovac bulan kalauastrazeneca"
"53",1187,"Netral","eitss vaksin sinovac langka"
"54",605,"Positif","udah vaksin sinovac vaksin booster moderna nakes"
"55",1416,"Netral","urg sinovac gin h abis vaksin jagjag isukna laleleus pis"
"56",1108,"Netral","nyesel vaksin astrazeneca sinovac"
"57",364,"Positif","buka daftar vaksinasi rsia asyifa depok jenis vaksin sinovac link daftar"
"58",1334,"Negatif","vaksin sinovac lantas positif covid vaksin sinovac"
"59",343,"Positif","preston kak vaksin dosis sinovacastra bisaaaa"
"60",1066,"Positif","stok dikemaskini kuantiti jenis keychain guyyss jenis rm jer keychain vaksin"
"61",541,"Netral","camat ceper beb coba dm instagram puskesmas bayat sana vaksin sinovac dosis"
"62",748,"Positif","hmmm pikir en vaksin lagikarena dapet vaksin sinovac"
"63",1191,"Negatif","pbkd sar guna sinovac kalangan remaja usia"
"64",1419,"Netral","kak informasi vaksin sinovac msh bdg mana"
"65",1200,"Positif","ayo buru vaksin belum dosis pfizer dosis vaksin"
"66",1438,"Positif","vaksin kakak mari mampir kakak vaksin sinovac vaksin astrazeneca zeneca dipilihpilih kakak bahas"
"67",753,"Positif","udah vaksin dosis efek samping gimana sinovac yh"
"68",1252,"Positif","kkm sar guna vaksin keluar sinovac remaja utama remaja"
"69",1210,"Netral","jangan sok keras vaksin nya sinovac vaksin jonivac suntik nya gede kenyal enak l"
"70",238,"Positif","lu beda jenis vaksin bikin ribet bgini vaksin woey udah abis"
"71",130,"Netral","ayan vaksinasi dosis sinovac kantor unit laka satlantas jalan inspeksi kalimalang wangunharja"
"72",674,"Negatif","keluarga vaksin sinovac doang nya kota emang efek tidak"
"73",1184,"Positif","ayo hadir gerai vaksin tni polri laksana"
"74",195,"Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten ban"
"75",160,"Positif","aussie vaksin kak bukan tinggal indonesia syarat vaksin"
"76",260,"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"77",961,"Negatif","vaksin sinovac asma tidak parah banget kambuh nggapapa buatt vaksinn"
"78",827,"Negatif","eddy yoshawirja warga bilang pecinan kota bandung warga usia lansia teua"
"79",784,"Netral","jatimulya puskesmas jatimulya vaksin sinovac pfizer dosis syarat ktp domisili jatimulya"
"80",153,"Negatif","masuk category no vaccine pergh sedih marah"
"81",945,"Negatif","vaksin massal dosis sinovac royal plaza surabaya sedia dosis surat domisili"
"82",1103,"Netral","kalauvaksin nyo pakai astrazeneca jaraknyo kalausinovac jaraknyo"
"83",487,"Negatif","sinovac tidak laku roman sang juragan nakutin dunia pakai isu mutasi varian huahahaha ah terminal"
"84",1338,"Positif","vaksin pfizer astrazeneca wilayah mustika jaya sini puskesmas mustika jaya sedia vaks"
"85",1475,"Negatif","sinovac dosis ajar smk dukuhturi suntik vaksin covid"
"86",721,"Negatif","vaksin sinovac sakit tidak sih"
"87",190,"Positif","kalauudah vaksin sinovac vaksin moderna pfizer tidak"
"88",143,"Positif","warga pojok antusias ikut vaksin babinsa koramil pulokulon serda zainudin bhabinkamtibmas monitoring v"
"89",916,"Positif","ayan vaksinasi covid dosis warga lurah juang laksana vaksin dosis jen"
"90",1145,"Positif","ndes vaksin ama vaksin langsung auditorium unnes sekar jenis vaksin"
"91",475,"Negatif","na udah dosis sinovac suruh vaksin dosis moderna bingung banget"
"92",880,"Positif","vaksin gapapa ambil sinovac efek ringan kon"
"93",1447,"Netral","puri begawan vaksin dosis kook sinovac"
"94",478,"Positif","pearuhan jenius tim diplomasi longterm baik m"
"95",955,"Positif","udah vaksin dosis sinovac sih aman inti janga"
"96",198,"Netral","sambut hut tni kodam vbrawijaya adakan upacara viual bagi vaksin sinovac masyar"
"97",855,"Positif","tolong baca tulis sinovac vaksin ama"
"98",1478,"Netral","vaksin sinovac"
"99",935,"Netral","aduh vaksin sinovac"
"100",705,"Positif","republik indonesia booster nakesdan tidak vaksin modernakebanyakkan sinovac keleees"
"101",1267,"Positif","kuasa kawal dadah pbkd tuju kelulus syarat guna vaksin coronavac keluar sinov"
"102",33,"Negatif","gejala vaksin moderna parah banding vaksin sinovac demam"
"103",63,"Positif","total vaksin indonesia baik bentuk bulk bahan baku bentuk d"
"104",305,"Netral","tolong informasi vaksin dosis astrazeneca tidak kabupaten semarang banyak sinovac moderna"
"105",922,"Netral","vaksin sinovac unmul syarat jadwal cp cek foto link"
"106",930,"Positif","laksana vaksinasi rentak tahap vaksin sinovac laksana polsek rambutan camat rambutan kota te"
"107",1150,"Netral","cah informasi vaksin d sinovac"
"108",648,"Netral","sinovac tidak efek vaksin moderna tidak"
"109",1250,"Positif","st dose astrazeneca then aefi amik nd dose sinovacso abis cerita vaksin sbb mysejahtera sah"
"110",417,"Positif","cowok asma udah kali vaksin sinovac tidak ngefek apaapa kecuali ngantuk laper"
"111",1322,"Netral","lur toloong informasi vaksin sinovac teman makasiih"
"112",972,"Netral","ibu riwayat daing coba vaksin sinovac dosis ama alh"
"113",703,"Negatif","informasi vaksin sinovac dosis jogja"
"114",1220,"Positif","maksimal vaksin ama kalausinovac moderna maksimal kalauastrazeneca"
"115",1231,"Netral","kali doo nk t cgu mksud lancau curious pon vaksin sinovac senng skit nk score nnti"
"116",1006,"Positif","oalah sinovac enak banget vaksin pas suntik tidak asa efek pegal"
"117",638,"Netral","informasi vaksin sinovac dosis jog makasi"
"118",1331,"Netral","informasi vaksin sinovac dosis dongg umsfess"
"119",1083,"Negatif","nyari vaksin astrazeneca zeneca susah banget nemu moderna sinovac"
"120",482,"Negatif","vaksin tidak presiden stok vaksin stok sisa"
"121",998,"Netral","beda vaksin moderna sinovac teman"
"122",1277,"Negatif","update vaksin covid bogor sinovac puskesmas cangkurawok kuota"
"123",442,"Negatif","halo sahabat rumah sakit baptis batu jadwal pesea vaksin c moderna sinovac tunda ayan"
"124",459,"Positif","vaksin sinovac selamat kanakkanak"
"125",73,"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang"
"126",360,"Netral","pkl sd babinsa desa tempursari serka maryadi laksana pen"
"127",822,"Negatif","kesan vaksin sinovac pfizer tanding lawan covid"
"128",5,"Netral","sd selesai kopda agung ariyadi babinsa juwok koramil sukodono lakgiat damping"
"129",1149,"Positif","kuasa kawal dadah pbkd tuju kelulus syarat guna vaksin coronavac keluar sinovac l"
"130",387,"Negatif","jadi nyata pupu nikah jerman orang jerman tolak vaksin sinovac lurah"
"131",237,"Negatif","indonesia datang juta dosis vaksin covid sinovac astrazeneca"
"132",1276,"Positif","vaksinasi psi kota depok solidaritas vaksin psi kota depok vaksin sinovac dosis syarat warga in"
"133",166,"Netral","beugas l titiwangsa gawai stesen muhammad nor afiq bin budin tugas baris hadap"
"134",1290,"Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin sembuh bangsa"
"135",240,"Positif","vaksin sinovac vaksin nya moderna tu gaboleh"
"136",948,"Netral","asline powerrangger abang kacek e saiki rodok mlesek mergo bar vaksin sinovac"
"137",1215,"Positif","pbkd sar guna vaksin coronavac kalangan remaja usia d"
"138",261,"Positif","mending temenku jenis vaksin kena covid teman nya te"
"139",1171,"Positif","guna vaksin keluar kalangan usia utama remaja"
"140",28,"Positif","sumber langsung biar baca"
"141",770,"Negatif","juta kali sinovac rupiah murah sinovac juta warga bayar vaks"
"142",422,"Positif","selamat pakbu bea polsek mergangsannkecamatan mergangsann adakan vaksinasi"
"143",739,"Netral","baik salah belum jenis vaksin moderna pfizer s"
"144",613,"Netral","pfizer cominay sinovac coronavac ikut media kanada tidak nama vaksin pf"
"145",662,"Positif","eh pakai vaksin pakai sinovac hati tenang deh"
"146",873,"Netral","geo suruh pakai vaksin sinovac"
"147",40,"Positif","asal puskesmas nas sehat kota ambon tim tni jenis vaksin sinovac"
"148",1443,"Positif","nemenin adik tiri vaksin nunggu positif kmrnandisini daftar online manual on the"
"149",844,"Positif","ayo hadir gerai vaksin tni polri laksana"
"150",371,"Negatif","vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis syarat jadwal l"
"151",1343,"Netral","vaksin dosis ama sinovac biofarma seifikat diprint"
"152",254,"Positif","buka sempat vaksin dosis sinovac khusus warga ktp sukoharjo vaksin warga"
"153",548,"Negatif","kayak teori indonesia pakai sinovac biar vaksin ind"
"154",1010,"Netral","kak asma udah vaksin sebenernya bandel jangan tiru hehe"
"155",1214,"Netral","raja lulus guna vaksin sinovac remaja malaysianow"
"156",1240,"Netral","informasi vaksin sinovac pfizer bogor puskesmas sukajaya masyarakat"
"157",538,"Netral","buru daftar link kuota batas vaksin nya jenis sinovac ge"
"158",1046,"Netral","efikasi vaksin sinovac indonesia turun persen persen vaksin booster jenis vaksin covi"
"159",66,"Netral","informasi vaksin sinovac bandung teman lokasi isbi bdg langsung link"
"160",712,"Netral","mukomuko siap dosis vaksin sinovac ajar news bengkulu"
"161",419,"Negatif","paksa sinovac efikasinya emang rendah negara lindung rakyat aneh"
"162",793,"Netral","situbondo gencar serbu vaksinasi covid dosis jenis vaksin sinovac astrazeneca kegiata"
"163",1279,"Positif","giat vaksinasi massal masyarakat brebes gerai vaksin presisi polres brebes dosis ama d"
"164",107,"Positif","anti banget vaksin ujungujungnya suruh milih sinovac astrazeneca moderna pilih jat"
"165",13,"Netral","kelmarin ternampak iklan klinik swasta cucuk vaksin sinovac dosis rm n maigaddd fre"
"166",1237,"Positif","lulus vaksin remaja"
"167",401,"Negatif","iya full ikut anjuran pemerintah sinovac kak nami respon tubuh ku nyeri"
"168",311,"Negatif","soal serius campur dosis vaksin nampak kat tiktok sbb orang tu dosis sinovac tanah arab"
"169",1174,"Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne"
"170",823,"Netral","tahan badan je awak amik pfizer takde effect langsung effect dem"
"171",1118,"Netral","adakan vaksin vaksin gelombang sinovac"
"172",694,"Netral","dapet kuota vaksin sinovac pfizer astrazeneca johnson johnson pemerintah me"
"173",48,"Netral","tau vaksin sinovac tidak kalauada vaksin sinovac"
"174",1263,"Negatif","temen ku vaksin nya beda loh bukan sinovac malas jelasin nya ah"
"175",1482,"Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin peduli keluarga"
"176",1360,"Netral","vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share"
"177",1202,"Netral","kalauchip gin vaksin sih serius na mak kalausinovac kayak tidak deh"
"178",1005,"Negatif","informasi vaksin covid bogor sinovac dosis puskesmas ciomas rahayu masyarakat"
"179",291,"Netral","comment nder vaksin sinovac potensi titan biar ketar tir aneh emang top"
"180",1299,"Positif","tapi booster merk vaksin pakai kali"
"181",525,"Netral","b sih urang mah soalna urang beurang vaksin sinovac kadua"
"182",355,"Netral","aman datang vaksin sinovac jakaa pesawat lion air jt bawa"
"183",875,"Positif","temen ngetwit vaksin sinovac untung sih tidak kayak"
"184",433,"Positif","daftar link daftar"
"185",78,"Negatif","tidak bang gimana singapur ketat datang m"
"186",394,"Negatif","asma udah vaksin sinovac kali badan nyeri demam"
"187",590,"Negatif","oooooo suntik sinovac tidak demam kakak kayak vaksin astrazeneca efek samping mi"
"188",1105,"Netral","informasi vaksin sinovac mustika jaya bantu repost"
"189",168,"Positif","ayo dukung vaksinasi pandemi lalu patuh prokes m"
"190",1448,"Netral","bismillah vaksin sinovac"
"191",1092,"Positif","ayo vaksin temen sinovac ngantuk laperan doang beneran deh"
"192",970,"Negatif","cuman pas suntik vaksin ama beda btwgua dosis ama sinovac astrazeneca"
"193",376,"Netral","mohon informasi vaksin dosis sinovac area sidoarjo"
"194",1425,"Netral","ananda smp alami sakit dada sebelah kiri pasca vaksin dosis p"
"195",853,"Negatif","imunisasi covid guna vaksin coronavac keluar sinovac life sciences co ltd china pharmaniaga lifesciences"
"196",621,"Positif","barubaru malaysia ungkap hasil teliti efektivitas vaksin sinovac pfizer astrazeneca beri"
"197",377,"Netral","bolehh kalauragu pending gapapa pei pas w vaksin sinovac ama tugas ngasi"
"198",232,"Negatif","juta dosis vaksin covid sinovac bentuk tanah air"
"199",59,"Netral","iyap sinovac tidak aku singapur kaya eropa tidak vaksin ulang modernapfizer"
"200",83,"Netral","kandano i cek ndang vaksin sinovac jare"
"201",642,"Positif","sinovac udah sek napas pas abis vaksin untung bentar doang sih normal"
"202",860,"Netral","eh cu udah vaksin kah k mana oh sinovac kah iya selesai"
"203",251,"Negatif","sumpah anjing pakai sinovac kesel lu untung vaksin orang jangan pilih pilih vak"
"204",597,"Netral","meriang selesai minum bodrex sembuh saran kalauseperti mama pas"
"205",1061,"Netral","nihhh vaksin sinovac pribadi tidak samsek rada pegal tidak ganggu ngant"
"206",1346,"Positif","mjb tidak jadwal vaksin dosis sinovac bina sehat emng tidak tru"
"207",1080,"Positif","sayang koleksi data bukti"
"208",596,"Netral","putus australia aku vaksin sinovac angin segar wisatawan internasional asal"
"209",170,"Netral","tolong informasi vaksin sinovac pfizer"
"210",136,"Positif","syukur alhamdulillah udah baik emang baik istirahat abis vaksin"
"211",921,"Positif","asam lambung aman udah kali vaksinn pakai sinovac vaksin makan"
"212",1067,"Positif","iya pakai vaksin sinovac tidak kena asma izin vaksin"
"213",259,"Negatif","wahhh anak sinovac ama tidak sik normal"
"214",114,"Positif","mukomuko terima tambah dosis vaksin sinovac news bengkulu"
"215",1044,"Positif","pemerintah arab saudi aku guna vaksin sinovac jamaah umroh indonesia"
"216",1104,"Netral","informasi vaksin sinovac dosis dongss"
"217",1307,"Netral","nder vaksin sinovac saranin jangan pergi tubuhm"
"218",765,"Netral","seifikat vaksin tidak tulis sinovac musti coronavac tidak diakuin"
"219",953,"Netral","vaksin sinovac unmul syarat jadwal cp cek foto link"
"220",1316,"Netral","panjang sd islamic center"
"221",610,"Positif","just informasi teman vaksin atur mana i vaksin nya jangan sinovac mostl"
"222",315,"Positif","aneh kemarenkemaren tidak vaksin dikatain udah vaksin ratara"
"223",188,"Negatif","besok juta hari rutin dapat sinovac tidak hat"
"224",686,"Negatif","kayak teori indonesia pakai sinovac biar vaksin apalag"
"225",665,"Positif","papua at least udah vaksin sih sinovac smua"
"226",212,"Netral","masuk akal asumsi booster vaksin virus lemah rangorang singapore"
"227",436,"Netral","vaksin sinovac umur kah"
"228",1395,"Netral","review vaksin sinovac dosis jarum rasa dosis"
"229",307,"Positif","selamat admin mohon informasi lapor kipi vaksin sinovac kontak"
"230",1283,"Negatif","rumah sakit akademik ugm buka tenda vaksin gedung utara kuota vaksin sinovac dosis"
"231",780,"Negatif","rasah kakean cangkem asline ki ultramentapi bar vaksin sinovac kuat ilang"
"232",535,"Positif","uwong uwong ki ngopo le vaksin milih milih sing sinovac ngene loh astrea"
"233",520,"Positif","geger vaksin srimulyo jilid i kapanewon piyungan gor p"
"234",691,"Negatif","hai nak walkin second dose klinik kesihatan kuala lumpur klinik kesihatan menawarkan"
"235",92,"Positif","informasi vaksin bekas pos polsek medan satria nas sehat lurus smp vaksin sinov"
"236",396,"Positif","vaksin sinovac astrazeneca moderna pfizer posko vaksinasi psi jakaa sedia empat jenis vaksin sebu"
"237",1003,"Netral","informasi vaksin covid bogor sinovac dosis camat ciomas sedia kuota"
"238",117,"Positif","alhamdulillah udah suntik vaksin sinovac dosis ama"
"239",382,"Positif","vaksinasi dosis ama jenis vaksin sinovac kapolres terang"
"240",658,"Positif","beda merek vaksin beda isi pilih vaksin aman whole virus inactived sinovac coronavac sinopharm"
"241",899,"Negatif","vaksin besok sinovac pakai sinovac efek samping yalebih takut kena efek"
"242",1115,"Netral","kodim sleman selesa vaksinasi dosis sasar sleman komando distrik mil"
"243",1014,"Positif","apel aman giat vaksinasi massal gerai vaksin presisi polres brebes dosis dosis va"
"244",367,"Netral","vaksin astrazeneca engah engah sept ou adekku sinovac"
"245",68,"Netral","iya sinovac nder langsung dehhhh ajaa tempat vaksin ama"
"246",1091,"Positif","vaksin pulih nusantara vaksin ruji khasiat tingkat imunitas"
"247",1439,"Netral","vaksin sinovac"
"248",242,"Negatif","tolak pemaksaan vaksin mba kritik keras vaksin sinovac tidak"
"249",284,"Positif","selamat bpkibu memang jabat beri vaksin izikan beaya s"
"250",120,"Netral","ayo intip beda vaksin astrazeneca sinovac"
"251",41,"Positif","informasi jadwal vaksin baru dosis sinovac kuota terminal bandara juanda gratis beras kg cek daftar"
"252",203,"Netral","vaksin astrazeneca sinovac dosis langsung tancap gas preston yaaaa"
"253",329,"Positif","efektif sinovac guru guru vaksin booster"
"254",857,"Negatif","sempet cek antibodi kuantitatif covid"
"255",675,"Positif","sing vaksin e sinovac rasah maki ngene astrea grandneva"
"256",1077,"Positif","waah mantaabb nit alhamdulillah udah vaksin ama sept sinovac dapet pfizer terminal"
"257",1056,"Negatif","seng vaksin e sinovac ra sok keras kyo ngene astreav"
"258",1151,"Netral","efikasi vaksin sinovac indonesia turun persen persen vaksin booster jenis vaksin c"
"259",490,"Negatif","informasi jadwal vaksin covid sinovac dosis garut buka"
"260",654,"Netral","vaksin bagi sinovac suami astrazeneca zenneca tante ku manula pfizer adek pupu nake"
"261",374,"Positif","dosis vaksin sinovac sumut personil brimob awal"
"262",135,"Netral","ayan vaksinasi dosis sinovac kantor unit laka satlantas jalan inspeksi kalimalang wangunharj"
"263",426,"Netral","antri vaksin dom antri banding dufan plsss kenapaaa susah banget vaksin sinovac dom"
"264",760,"Positif","informasi sedia vaksin sinovac desa jejalen kabbekasi"
"265",761,"Netral","tidak vaksin ama sinovac"
"266",23,"Negatif","tidak vaksin sinovac efek nya ngantuk parah laper"
"267",473,"Netral","arab saudi visa turis tidak wni indonesia kena travel ban arab saudi"
"268",1110,"Negatif","abah kali ve no simptom from day till day ayep ama je sakit badan xlarat dem"
"269",1265,"Netral","nyata akhbar menteri kesihatan malaysia kuasa kawal dadah pbkd bermesyuarat me"
"270",281,"Netral","staf lepas tarikh suntik dosis vaksin pfizer astrazaneca sinovac melep"
"271",858,"Positif","beempat kampus feb untan vaksinasi covid tahap kali hasil capai angka vial sinov"
"272",743,"Positif","bagus nder tidak bagus kalauudah vaksin sinovac tidak ganti nder yakin sih bagus"
"273",995,"Positif","therapeutic goods administration vaksin sinovac astrazeneca masuk daftar vaksin covid aku keput"
"274",256,"Negatif","oh iy vaksin sinovac dosis rasany dugun banget literally pergi"
"275",70,"Positif","beempat pendopo kantor desa plosokerep camat karangmalang kabupaten sragen laksana vaksin dosis r"
"276",1351,"Netral","via vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share ht"
"277",781,"Netral","sobat polri vaksin covid menteng adakan lurah menteng dosis vaksin sinovac astrazeneca zenecca"
"278",9,"Netral","reuni duo alumni waawan senior tempo dahlan iskan vaksin sinovac mall full youtube h"
"279",1373,"Positif","akang teteh sadayana punten informasi vaksin dosis ktp nya bukan bandung mana yah kalo"
"280",131,"Netral","orang peikai menteri diskriminasi orang vaccinated non vaccinated jenis vaksin kena discr"
"281",909,"Negatif","rasah kakean cangkem asline ki ultraman bar vaksin sinovac dadi kuat ilang"
"282",397,"Negatif","vaksin dosis astrazeneca sinovac"
"283",1121,"Netral","tf informasi vaksin sinovac besok ktp non tegal gais kalaudinkes"
"284",881,"Netral","jadwal vaksin jogja kulon progo sinovac dosis link daftar tidak"
"285",1039,"Positif","jbrfess informasi vaksin laksana kodim balai desa sukorambi sasar"
"286",1144,"Positif","temen asma udah vaksin sinovac aman asma baik sgr vaksin temen"
"287",1311,"Netral","orang pfizer sinovac efek tidak oknum bilang habis vaksin sakit"
"288",1282,"Positif","kapolres brebes akbp faisal febrianto sik monitoring laksana giat vaksinasi mass"
"289",427,"Netral","informasi vaksinasi covid bandung vaksin sinovac dosis"
"290",1015,"Negatif","rasah kokean ngece asline ki kuat bar vaksin sinovac kuat ilang"
"291",1428,"Positif","kesal belum vaksin daftar vaksin moderna pas cek tugas nik daftar seif"
"292",513,"Positif","personil polsek sanden pimpin kanit provos iptu suharyanto laksana aman monitoring vaksinasi covid"
"293",384,"Netral","lu vaksin pfizer sinovac doang eh under"
"294",235,"Netral","tolong keluarga kaga vaksin gamau sinovac j"
"295",550,"Positif","vaksin dapet sinovac efek samping laper tidak"
"296",696,"Netral","its vaksin sinovac nder"
"297",1106,"Netral","informasi vaksin sinovac mustika jaya bantu repost"
